negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'AndrogenReceptor', 'P59998', 'Q9NQG5'})"
"frozenset({'Q9UNE7', 'Q53HC9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P29590', 'Q8NG31'})"
"frozenset({'AndrogenReceptor', 'Q9Y3B4', 'P11387'})"
"frozenset({'Q5T752', 'Q8IWZ5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q92922', 'Q9P0T4'})"
"frozenset({'AndrogenReceptor', 'P38936', 'Q6P2Q9'})"
"frozenset({'Q9NQZ3', 'Q86Y13', 'AndrogenReceptor'})"
"frozenset({'P19883', 'AndrogenReceptor', 'P36894'})"
"frozenset({'P43405', 'AndrogenReceptor', 'Q6S5L8'})"
"frozenset({'Q9BYD3', 'AndrogenReceptor', 'P07196'})"
"frozenset({'P06400', 'P05412', 'AndrogenReceptor'})"
"frozenset({'P23771', 'AndrogenReceptor', 'Q9UQL6'})"
"frozenset({'O95644', 'AndrogenReceptor', 'Q01196'})"
"frozenset({'P04899', 'Q86XP0', 'AndrogenReceptor'})"
"frozenset({'P62244', 'AndrogenReceptor', 'P47914'})"
"frozenset({'P27816', 'AndrogenReceptor', 'P51858'})"
"frozenset({'P31749', 'P33778', 'AndrogenReceptor'})"
"frozenset({'Q96Q35', 'AndrogenReceptor', 'P56279'})"
"frozenset({'AndrogenReceptor', 'O00141', 'O43524'})"
"frozenset({'O00267', 'AndrogenReceptor', 'P06493'})"
"frozenset({'P42224', 'Q9H0W5', 'AndrogenReceptor'})"
"frozenset({'P42684', 'AndrogenReceptor', 'O15304'})"
"frozenset({'Q494V2', 'AndrogenReceptor', 'O43353'})"
"frozenset({'AndrogenReceptor', 'P05165', 'O95816'})"
"frozenset({'P55957', 'AndrogenReceptor', 'P07339'})"
"frozenset({'Q8TCU5', 'P22612', 'AndrogenReceptor'})"
"frozenset({'P62829', 'AndrogenReceptor', 'P15880'})"
"frozenset({'Q5T753', 'AndrogenReceptor', 'P50222'})"
"frozenset({'P01583', 'Q99584', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16206', 'P43364'})"
"frozenset({'Q13555', 'Q96PM5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WZ42', 'Q9HDC5'})"
"frozenset({'P55036', 'AndrogenReceptor', 'Q9H040'})"
"frozenset({'Q5UIP0', 'O75147', 'AndrogenReceptor'})"
"frozenset({'P26012', 'AndrogenReceptor', 'A8TX70'})"
"frozenset({'Q06330', 'O14980', 'AndrogenReceptor'})"
"frozenset({'Q99986', 'AndrogenReceptor', 'P78362'})"
"frozenset({'AndrogenReceptor', 'Q12965', 'O43426'})"
"frozenset({'P08572', 'P20849', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15287', 'P68400'})"
"frozenset({'P19320', 'Q9Y6B6', 'AndrogenReceptor'})"
"frozenset({'O75376', 'Q14995', 'AndrogenReceptor'})"
"frozenset({'Q6NT76', 'Q9H672', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16576', 'P28749'})"
"frozenset({'P11441', 'AndrogenReceptor', 'P62701'})"
"frozenset({'P52732', 'Q13573', 'AndrogenReceptor'})"
"frozenset({'Q13263', 'AndrogenReceptor', 'O14709'})"
"frozenset({'Q13889', 'AndrogenReceptor', 'Q6P1K8'})"
"frozenset({'Q13509', 'AndrogenReceptor', 'P09651'})"
"frozenset({'P09651', 'Q7Z7H8', 'AndrogenReceptor'})"
"frozenset({'P56159', 'O14543', 'AndrogenReceptor'})"
"frozenset({'P34741', 'AndrogenReceptor', 'P48454'})"
"frozenset({'Q13200', 'P04350', 'AndrogenReceptor'})"
"frozenset({'Q8N4E4', 'AndrogenReceptor', 'Q9H5V9'})"
"frozenset({'P38398', 'Q49AN0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q7Z3K3', 'P08047'})"
"frozenset({'AndrogenReceptor', 'P17028', 'Q8N0Y2'})"
"frozenset({'A1L190', 'P49441', 'AndrogenReceptor'})"
"frozenset({'Q969U7', 'AndrogenReceptor', 'P98095'})"
"frozenset({'Q9UMX3', 'AndrogenReceptor', 'Q92843'})"
"frozenset({'P61006', 'AndrogenReceptor', 'P51149'})"
"frozenset({'Q15428', 'AndrogenReceptor', 'P09012'})"
"frozenset({'Q9P2P5', 'Q9HCJ5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UBU8', 'Q96AQ6'})"
"frozenset({'A6NET4', 'P22612', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q11206', 'Q96EU7'})"
"frozenset({'P19022', 'AndrogenReceptor', 'P68133'})"
"frozenset({'Q9HAU0', 'AndrogenReceptor', 'Q5EBL8'})"
"frozenset({'Q9UDY2', 'Q9NRM7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y2D8', 'Q96GN5'})"
"frozenset({'P60709', 'AndrogenReceptor', 'Q9BV73'})"
"frozenset({'Q15751', 'AndrogenReceptor', 'Q52LW3'})"
"frozenset({'AndrogenReceptor', 'Q14676', 'Q9P0K7'})"
"frozenset({'P46108', 'Q9UPX8', 'AndrogenReceptor'})"
"frozenset({'Q86YC2', 'AndrogenReceptor', 'Q9UBU8'})"
"frozenset({'P84095', 'AndrogenReceptor', 'Q96BJ8'})"
"frozenset({'O43837', 'Q15154', 'AndrogenReceptor'})"
"frozenset({'O14764', 'P46459', 'AndrogenReceptor'})"
"frozenset({'P49588', 'AndrogenReceptor', 'P04629'})"
"frozenset({'AndrogenReceptor', 'Q96SN8', 'Q9P2P6'})"
"frozenset({'O60840', 'AndrogenReceptor', 'P67775'})"
"frozenset({'P41218', 'AndrogenReceptor', 'Q9BZE4'})"
"frozenset({'Q9NQC3', 'AndrogenReceptor', 'P27694'})"
"frozenset({'Q9UI10', 'Q8N490', 'AndrogenReceptor'})"
"frozenset({'Q9Y266', 'Q9UG01', 'AndrogenReceptor'})"
"frozenset({'O75817', 'AndrogenReceptor', 'Q9C0C9'})"
"frozenset({'AndrogenReceptor', 'Q969G3', 'Q15466'})"
"frozenset({'AndrogenReceptor', 'P05388', 'Q9Y277'})"
"frozenset({'Q8N448', 'O75604', 'AndrogenReceptor'})"
"frozenset({'Q9H4Q3', 'Q9UGL1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05387', 'P46781'})"
"frozenset({'O95758', 'Q86V81', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96EQ0', 'Q9H2H8'})"
"frozenset({'AndrogenReceptor', 'P14210', 'P04275'})"
"frozenset({'Q9H4H8', 'O14867', 'AndrogenReceptor'})"
"frozenset({'Q9H0R8', 'Q6IED9', 'AndrogenReceptor'})"
"frozenset({'Q8WY64', 'Q8WWW0', 'AndrogenReceptor'})"
"frozenset({'Q9NQB0', 'AndrogenReceptor', 'Q13107'})"
"frozenset({'Q8N490', 'Q8NAN2', 'AndrogenReceptor'})"
"frozenset({'P21980', 'AndrogenReceptor', 'Q96K21'})"
"frozenset({'Q8IYF1', 'AndrogenReceptor', 'Q9BQ66'})"
"frozenset({'O76075', 'AndrogenReceptor', 'P16220'})"
"frozenset({'Q06124', 'P16144', 'AndrogenReceptor'})"
"frozenset({'Q92901', 'AndrogenReceptor', 'P46778'})"
"frozenset({'P98177', 'AndrogenReceptor', 'P49674'})"
"frozenset({'Q9NRV9', 'AndrogenReceptor', 'Q9H2U1'})"
"frozenset({'P13645', 'P31749', 'AndrogenReceptor'})"
"frozenset({'Q8IXL6', 'AndrogenReceptor', 'Q9BPY3'})"
"frozenset({'Q8NFH5', 'AndrogenReceptor', 'P35658'})"
"frozenset({'P50226', 'P0DMM9', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'Q9BRS2', 'AndrogenReceptor'})"
"frozenset({'O95684', 'AndrogenReceptor', 'P49959'})"
"frozenset({'Q96LI6', 'AndrogenReceptor', 'O14964'})"
"frozenset({'Q9C005', 'Q9NVI1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H0W8', 'Q9Y265'})"
"frozenset({'Q96LK0', 'Q96F86', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P25705', 'Q14197'})"
"frozenset({'AndrogenReceptor', 'P26885', 'Q9H0W9'})"
"frozenset({'P20618', 'AndrogenReceptor', 'Q15051'})"
"frozenset({'AndrogenReceptor', 'P07948', 'P05556'})"
"frozenset({'AndrogenReceptor', 'P35558', 'P63208'})"
"frozenset({'Q92915', 'AndrogenReceptor', 'P68400'})"
"frozenset({'AndrogenReceptor', 'P06241', 'P78314'})"
"frozenset({'Q9UHB9', 'AndrogenReceptor', 'Q16637'})"
"frozenset({'Q14004', 'O75400', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H9D4', 'P78395'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q15011'})"
"frozenset({'P42338', 'O60262', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UJX6', 'Q9H6Y5'})"
"frozenset({'O60684', 'O95198', 'AndrogenReceptor'})"
"frozenset({'Q9UPM8', 'Q9Y6R4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IVD9', 'Q9UBN7'})"
"frozenset({'Q96T21', 'AndrogenReceptor', 'Q14CW9'})"
"frozenset({'Q8N5Y2', 'AndrogenReceptor', 'Q9Y463'})"
"frozenset({'AndrogenReceptor', 'Q8IZH2', 'Q9C0F1'})"
"frozenset({'P51808', 'P43034', 'AndrogenReceptor'})"
"frozenset({'Q9Y266', 'Q2WGJ6', 'AndrogenReceptor'})"
"frozenset({'O95166', 'Q00839', 'AndrogenReceptor'})"
"frozenset({'P05141', 'P04843', 'AndrogenReceptor'})"
"frozenset({'P11308', 'P09874', 'AndrogenReceptor'})"
"frozenset({'P05067', 'O75840', 'AndrogenReceptor'})"
"frozenset({'P12532', 'AndrogenReceptor', 'P06753'})"
"frozenset({'Q92841', 'Q9NUQ3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P12814', 'Q05682'})"
"frozenset({'Q14493', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'P46108', 'AndrogenReceptor', 'O94856'})"
"frozenset({'Q9BTX3', 'O14867', 'AndrogenReceptor'})"
"frozenset({'Q92633', 'Q08722', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NQX7', 'P18146'})"
"frozenset({'AndrogenReceptor', 'P30153', 'P53041'})"
"frozenset({'P42702', 'P01567', 'AndrogenReceptor'})"
"frozenset({'Q5TC82', 'AndrogenReceptor', 'P62847'})"
"frozenset({'Q9UGL1', 'P56524', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NRF9', 'P12004'})"
"frozenset({'P35244', 'AndrogenReceptor', 'P05556'})"
"frozenset({'Q9Y617', 'AndrogenReceptor', 'Q16719'})"
"frozenset({'Q13509', 'AndrogenReceptor', 'Q99832'})"
"frozenset({'P49069', 'AndrogenReceptor', 'Q9H9V4'})"
"frozenset({'Q9NR12', 'P49116', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61088', 'P51991'})"
"frozenset({'P15927', 'AndrogenReceptor', 'Q13616'})"
"frozenset({'AndrogenReceptor', 'Q14494', 'O15525'})"
"frozenset({'P35998', 'AndrogenReceptor', 'Q99460'})"
"frozenset({'P0DMV9', 'Q06710', 'AndrogenReceptor'})"
"frozenset({'Q00839', 'AndrogenReceptor', 'Q8IX12'})"
"frozenset({'AndrogenReceptor', 'Q8IYX8', 'Q96JP2'})"
"frozenset({'AndrogenReceptor', 'P02792', 'Q9BQB6'})"
"frozenset({'Q9BRK5', 'Q99661', 'AndrogenReceptor'})"
"frozenset({'P09874', 'AndrogenReceptor', 'P09884'})"
"frozenset({'AndrogenReceptor', 'P51825', 'O43255'})"
"frozenset({'P05067', 'AndrogenReceptor', 'Q8WUH1'})"
"frozenset({'AndrogenReceptor', 'Q9UK80', 'Q9BYV2'})"
"frozenset({'Q49AN0', 'AndrogenReceptor', 'P54646'})"
"frozenset({'P61956', 'AndrogenReceptor', 'Q96IT1'})"
"frozenset({'P67809', 'AndrogenReceptor', 'Q86VP6'})"
"frozenset({'O15294', 'AndrogenReceptor', 'Q9UBL3'})"
"frozenset({'O43680', 'O00560', 'AndrogenReceptor'})"
"frozenset({'Q9NYL9', 'Q9NQX4', 'AndrogenReceptor'})"
"frozenset({'Q8N3V7', 'O00159', 'AndrogenReceptor'})"
"frozenset({'P63215', 'P27986', 'AndrogenReceptor'})"
"frozenset({'Q9Y266', 'AndrogenReceptor', 'Q96TA1'})"
"frozenset({'P62873', 'AndrogenReceptor', 'Q8NGV5'})"
"frozenset({'Q8WYP5', 'AndrogenReceptor', 'P55735'})"
"frozenset({'P31323', 'AndrogenReceptor', 'Q7Z4T9'})"
"frozenset({'Q9Y6V7', 'AndrogenReceptor', 'P62807'})"
"frozenset({'AndrogenReceptor', 'P36873', 'P26678'})"
"frozenset({'Q15717', 'Q9Y4H2', 'AndrogenReceptor'})"
"frozenset({'P19174', 'P23458', 'AndrogenReceptor'})"
"frozenset({'Q92598', 'AndrogenReceptor', 'Q9H6Z4'})"
"frozenset({'Q86TI0', 'AndrogenReceptor', 'P0DP23'})"
"frozenset({'Q15067', 'Q13404', 'AndrogenReceptor'})"
"frozenset({'Q96S53', 'AndrogenReceptor', 'Q14680'})"
"frozenset({'Q86TC9', 'AndrogenReceptor', 'Q8WZ42'})"
"frozenset({'P49736', 'Q99569', 'AndrogenReceptor'})"
"frozenset({'O00506', 'P62714', 'AndrogenReceptor'})"
"frozenset({'P30049', 'AndrogenReceptor', 'P18859'})"
"frozenset({'Q6P1M3', 'P31689', 'AndrogenReceptor'})"
"frozenset({'P46934', 'P16234', 'AndrogenReceptor'})"
"frozenset({'Q9Y2X8', 'AndrogenReceptor', 'Q9H0F5'})"
"frozenset({'Q9NVX2', 'P50991', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15365', 'P42336'})"
"frozenset({'Q99700', 'AndrogenReceptor', 'P12814'})"
"frozenset({'AndrogenReceptor', 'O14980', 'B0YJ81'})"
"frozenset({'AndrogenReceptor', 'Q14781', 'P78364'})"
"frozenset({'P29992', 'AndrogenReceptor', 'P0C869'})"
"frozenset({'P54132', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'P60953', 'P0DPB6', 'AndrogenReceptor'})"
"frozenset({'Q9UHC1', 'AndrogenReceptor', 'P37058'})"
"frozenset({'AndrogenReceptor', 'P16402', 'P31947'})"
"frozenset({'AndrogenReceptor', 'Q12980', 'P04637'})"
"frozenset({'AndrogenReceptor', 'Q8IZS8', 'Q13557'})"
"frozenset({'O94782', 'AndrogenReceptor', 'Q96B01'})"
"frozenset({'AndrogenReceptor', 'P49756', 'P31947'})"
"frozenset({'AndrogenReceptor', 'Q9Y580', 'Q15637'})"
"frozenset({'P20366', 'Q86VW0', 'AndrogenReceptor'})"
"frozenset({'Q99814', 'O60573', 'AndrogenReceptor'})"
"frozenset({'O60573', 'AndrogenReceptor', 'Q04864'})"
"frozenset({'Q9UBU9', 'AndrogenReceptor', 'Q6P2Q9'})"
"frozenset({'Q13490', 'AndrogenReceptor', 'Q9BTV5'})"
"frozenset({'Q05952', 'P22612', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P26367', 'Q8NI38'})"
"frozenset({'AndrogenReceptor', 'P19438', 'Q13114'})"
"frozenset({'O00716', 'AndrogenReceptor', 'P28331'})"
"frozenset({'Q9NYU1', 'Q9BSE5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60674', 'Q14627'})"
"frozenset({'O60645', 'AndrogenReceptor', 'Q7Z7F0'})"
"frozenset({'AndrogenReceptor', 'P21281', 'Q9NZR1'})"
"frozenset({'AndrogenReceptor', 'P17081', 'Q8IWW6'})"
"frozenset({'Q8IXK0', 'AndrogenReceptor', 'Q9Y4W6'})"
"frozenset({'AndrogenReceptor', 'Q8IYA8', 'Q13643'})"
"frozenset({'P55316', 'AndrogenReceptor', 'Q04724'})"
"frozenset({'AndrogenReceptor', 'Q99590', 'P09001'})"
"frozenset({'Q07960', 'AndrogenReceptor', 'Q07890'})"
"frozenset({'AndrogenReceptor', 'Q16514', 'Q9BRQ0'})"
"frozenset({'Q15323', 'AndrogenReceptor', 'Q8N443'})"
"frozenset({'Q15149', 'AndrogenReceptor', 'Q9Y4G8'})"
"frozenset({'P28702', 'Q12840', 'AndrogenReceptor'})"
"frozenset({'Q96CN9', 'AndrogenReceptor', 'O60341'})"
"frozenset({'P15941', 'AndrogenReceptor', 'P07948'})"
"frozenset({'Q96DZ9', 'AndrogenReceptor', 'Q9UKF7'})"
"frozenset({'AndrogenReceptor', 'Q08379', 'O75689'})"
"frozenset({'Q7Z3C6', 'O95782', 'AndrogenReceptor'})"
"frozenset({'Q16659', 'Q9UNF1', 'AndrogenReceptor'})"
"frozenset({'P50151', 'AndrogenReceptor', 'Q96PN6'})"
"frozenset({'Q13084', 'AndrogenReceptor', 'P52739'})"
"frozenset({'P00533', 'O00213', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P07476', 'Q9H9P8'})"
"frozenset({'Q12906', 'P00519', 'AndrogenReceptor'})"
"frozenset({'Q9Y383', 'AndrogenReceptor', 'Q9GZQ8'})"
"frozenset({'AndrogenReceptor', 'P04406', 'P49913'})"
"frozenset({'P62312', 'Q5GLZ8', 'AndrogenReceptor'})"
"frozenset({'P62314', 'AndrogenReceptor', 'Q9GZQ8'})"
"frozenset({'AndrogenReceptor', 'P62987', 'Q14676'})"
"frozenset({'AndrogenReceptor', 'Q8NGG8', 'P22694'})"
"frozenset({'O95786', 'Q13283', 'AndrogenReceptor'})"
"frozenset({'Q9UMS4', 'Q8IYB3', 'AndrogenReceptor'})"
"frozenset({'P34897', 'Q13561', 'AndrogenReceptor'})"
"frozenset({'Q92764', 'AndrogenReceptor', 'Q8N715'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q6XYB7'})"
"frozenset({'AndrogenReceptor', 'Q96LK0', 'Q9P2K3'})"
"frozenset({'Q7RTY1', 'AndrogenReceptor', 'Q9NSK0'})"
"frozenset({'O43665', 'P62330', 'AndrogenReceptor'})"
"frozenset({'O95684', 'Q7Z7L1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62945', 'Q16539'})"
"frozenset({'P29353', 'AndrogenReceptor', 'P36897'})"
"frozenset({'Q8NHU6', 'AndrogenReceptor', 'Q06547'})"
"frozenset({'O95926', 'Q9BW85', 'AndrogenReceptor'})"
"frozenset({'Q9Y5B9', 'AndrogenReceptor', 'Q15059'})"
"frozenset({'P42768', 'P60709', 'AndrogenReceptor'})"
"frozenset({'P27695', 'P12318', 'AndrogenReceptor'})"
"frozenset({'P62879', 'O14980', 'AndrogenReceptor'})"
"frozenset({'P53680', 'AndrogenReceptor', 'P09497'})"
"frozenset({'Q6XZF7', 'AndrogenReceptor', 'P50552'})"
"frozenset({'Q96QK1', 'AndrogenReceptor', 'Q969V5'})"
"frozenset({'P10415', 'AndrogenReceptor', 'Q9HCN2'})"
"frozenset({'P45880', 'AndrogenReceptor', 'P84085'})"
"frozenset({'AndrogenReceptor', 'Q9P2K3', 'O75386'})"
"frozenset({'AndrogenReceptor', 'Q9Y250', 'Q9BRK4'})"
"frozenset({'Q5T5Y3', 'AndrogenReceptor', 'O15198'})"
"frozenset({'P20783', 'AndrogenReceptor', 'Q15013'})"
"frozenset({'Q9UDY8', 'O75604', 'AndrogenReceptor'})"
"frozenset({'P35249', 'AndrogenReceptor', 'O75943'})"
"frozenset({'P26373', 'O75147', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y483', 'Q9H5I1'})"
"frozenset({'Q14999', 'AndrogenReceptor', 'P14618'})"
"frozenset({'AndrogenReceptor', 'Q96HA1', 'Q12769'})"
"frozenset({'Q8WX92', 'P03372', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P00748', 'O15091'})"
"frozenset({'Q8TAQ2', 'P0C7T5', 'AndrogenReceptor'})"
"frozenset({'Q8WUD4', 'Q9H1Y0', 'AndrogenReceptor'})"
"frozenset({'O60271', 'Q14C86', 'AndrogenReceptor'})"
"frozenset({'O43143', 'AndrogenReceptor', 'Q8IUX1'})"
"frozenset({'AndrogenReceptor', 'Q13148', 'P48730'})"
"frozenset({'Q02930', 'Q14012', 'AndrogenReceptor'})"
"frozenset({'P49862', 'AndrogenReceptor', 'Q9NQ38'})"
"frozenset({'AndrogenReceptor', 'O00233', 'O00487'})"
"frozenset({'Q13683', 'AndrogenReceptor', 'Q13508'})"
"frozenset({'Q9NZM3', 'Q9BQD3', 'AndrogenReceptor'})"
"frozenset({'Q96Q07', 'Q9UHP3', 'AndrogenReceptor'})"
"frozenset({'P27482', 'P42858', 'AndrogenReceptor'})"
"frozenset({'P21589', 'Q658P3', 'AndrogenReceptor'})"
"frozenset({'P22612', 'Q8NH85', 'AndrogenReceptor'})"
"frozenset({'O95299', 'O00217', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9HAU4', 'Q13887'})"
"frozenset({'P62875', 'Q04864', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P24864', 'Q12824'})"
"frozenset({'Q00987', 'AndrogenReceptor', 'Q969T4'})"
"frozenset({'Q9H3D4', 'P24941', 'AndrogenReceptor'})"
"frozenset({'Q16531', 'P46527', 'AndrogenReceptor'})"
"frozenset({'Q9HAV4', 'AndrogenReceptor', 'Q32P28'})"
"frozenset({'P31946', 'AndrogenReceptor', 'P26196'})"
"frozenset({'P43490', 'AndrogenReceptor', 'O15360'})"
"frozenset({'Q8IWV7', 'P60896', 'AndrogenReceptor'})"
"frozenset({'P06730', 'Q5VYK3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9HBH9', 'P31152'})"
"frozenset({'P18846', 'AndrogenReceptor', 'Q13554'})"
"frozenset({'Q969K3', 'AndrogenReceptor', 'Q96B97'})"
"frozenset({'Q8N682', 'AndrogenReceptor', 'Q16254'})"
"frozenset({'P62993', 'AndrogenReceptor', 'Q8TE12'})"
"frozenset({'AndrogenReceptor', 'P14091', 'Q92979'})"
"frozenset({'AndrogenReceptor', 'Q8IUQ4', 'P63208'})"
"frozenset({'AndrogenReceptor', 'O43542', 'O94822'})"
"frozenset({'O75530', 'A6NHR9', 'AndrogenReceptor'})"
"frozenset({'Q9H9Y4', 'P0CAP1', 'AndrogenReceptor'})"
"frozenset({'P48549', 'P04899', 'AndrogenReceptor'})"
"frozenset({'P53618', 'O14980', 'AndrogenReceptor'})"
"frozenset({'O95347', 'P62330', 'AndrogenReceptor'})"
"frozenset({'Q3LI76', 'AndrogenReceptor', 'Q52LG2'})"
"frozenset({'AndrogenReceptor', 'P37231', 'P10276'})"
"frozenset({'AndrogenReceptor', 'Q9BQQ3', 'Q92731'})"
"frozenset({'AndrogenReceptor', 'Q8TCU4', 'Q9UBK7'})"
"frozenset({'P36956', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'P32121', 'P52272', 'AndrogenReceptor'})"
"frozenset({'Q13464', 'AndrogenReceptor', 'Q9Y613'})"
"frozenset({'Q8WUM4', 'P13612', 'AndrogenReceptor'})"
"frozenset({'P08575', 'Q02763', 'AndrogenReceptor'})"
"frozenset({'P55036', 'AndrogenReceptor', 'P06732'})"
"frozenset({'O60939', 'AndrogenReceptor', 'P10586'})"
"frozenset({'AndrogenReceptor', 'P32927', 'Q9Y4K3'})"
"frozenset({'P53350', 'Q15468', 'AndrogenReceptor'})"
"frozenset({'P15153', 'AndrogenReceptor', 'P52757'})"
"frozenset({'P63000', 'AndrogenReceptor', 'O15211'})"
"frozenset({'Q9NZV8', 'Q9P0X4', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'P0C0S5', 'AndrogenReceptor'})"
"frozenset({'Q92838', 'Q6P5W5', 'AndrogenReceptor'})"
"frozenset({'P07910', 'AndrogenReceptor', 'Q9Y4K3'})"
"frozenset({'Q13541', 'AndrogenReceptor', 'Q13188'})"
"frozenset({'Q9Y5W9', 'AndrogenReceptor', 'Q9UBD5'})"
"frozenset({'Q9NQW6', 'AndrogenReceptor', 'Q9NX20'})"
"frozenset({'P04049', 'AndrogenReceptor', 'O00329'})"
"frozenset({'AndrogenReceptor', 'P07954', 'P46926'})"
"frozenset({'AndrogenReceptor', 'Q8WVC0', 'P19387'})"
"frozenset({'P0DMV9', 'Q14258', 'AndrogenReceptor'})"
"frozenset({'Q9BQ95', 'Q5T3U5', 'AndrogenReceptor'})"
"frozenset({'Q9C026', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'Q05639', 'AndrogenReceptor', 'P24534'})"
"frozenset({'Q9BQ95', 'Q2M3V2', 'AndrogenReceptor'})"
"frozenset({'Q15717', 'Q96QK8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P23258', 'P36776'})"
"frozenset({'P54253', 'Q9UBP5', 'AndrogenReceptor'})"
"frozenset({'P11234', 'Q9NV70', 'AndrogenReceptor'})"
"frozenset({'Q13049', 'P62837', 'AndrogenReceptor'})"
"frozenset({'Q96F86', 'AndrogenReceptor', 'Q9Y597'})"
"frozenset({'P01588', 'Q14626', 'AndrogenReceptor'})"
"frozenset({'Q9BSD7', 'AndrogenReceptor', 'Q8NEZ3'})"
"frozenset({'AndrogenReceptor', 'P42568', 'Q5T3J3'})"
"frozenset({'P51681', 'P40763', 'AndrogenReceptor'})"
"frozenset({'Q96LA8', 'AndrogenReceptor', 'Q9Y365'})"
"frozenset({'O00567', 'AndrogenReceptor', 'Q7Z7K6'})"
"frozenset({'P46109', 'Q13905', 'AndrogenReceptor'})"
"frozenset({'P35244', 'AndrogenReceptor', 'P05198'})"
"frozenset({'Q9NYG5', 'P98095', 'AndrogenReceptor'})"
"frozenset({'P09651', 'AndrogenReceptor', 'Q99729'})"
"frozenset({'P05161', 'AndrogenReceptor', 'P60981'})"
"frozenset({'Q8IUF1', 'AndrogenReceptor', 'P51957'})"
"frozenset({'Q8IWI9', 'O75147', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P49773', 'P30041'})"
"frozenset({'Q5H9R7', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'P46019', 'AndrogenReceptor', 'P85037'})"
"frozenset({'AndrogenReceptor', 'Q5TYM5', 'Q96HA8'})"
"frozenset({'P10253', 'AndrogenReceptor', 'O43852'})"
"frozenset({'Q9NWX6', 'Q86TI2', 'AndrogenReceptor'})"
"frozenset({'Q969T9', 'Q9UH03', 'AndrogenReceptor'})"
"frozenset({'Q9ULK4', 'AndrogenReceptor', 'Q96QC0'})"
"frozenset({'P10636', 'AndrogenReceptor', 'P11142'})"
"frozenset({'Q15831', 'AndrogenReceptor', 'P61981'})"
"frozenset({'Q5T215', 'Q9Y5R8', 'AndrogenReceptor'})"
"frozenset({'Q09161', 'AndrogenReceptor', 'Q15022'})"
"frozenset({'P11413', 'P14324', 'AndrogenReceptor'})"
"frozenset({'P00747', 'Q13219', 'AndrogenReceptor'})"
"frozenset({'Q13185', 'Q8IYB3', 'AndrogenReceptor'})"
"frozenset({'Q8N720', 'AndrogenReceptor', 'Q8TBB1'})"
"frozenset({'Q9UJU6', 'O60664', 'AndrogenReceptor'})"
"frozenset({'Q9Y3B4', 'P04004', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P11509', 'P41235'})"
"frozenset({'P27986', 'O14733', 'AndrogenReceptor'})"
